inn;predpriyatie;chem_derzhitsya;primer_citaty;pochemu
4028059805;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЛУЖСКИЙ ЗАВОД ПО";вывод по роду деятельности;Выполнение работ по ремонту турбокомпрессоров и карданных валов.;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5300016868;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОВГОРОДСКИЙ ВОДОКАНАЛ""";вывод по роду деятельности;Поставка нагнетателя для производственных нужд;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
2983009240;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВАРАНДЕЙСКИЙ ТЕРМИ";вывод по роду деятельности;Турбокомпрессор ТК18С21;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7449070380;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРСПЕКТИВА""";вывод по роду деятельности;Поставка турбокомпрессора для электрогенераторной установки типа SFGLD560;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7453222406;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""СЛУЖБА ОРГАНИЗАЦИИ ДВИЖ";вывод по роду деятельности;Поставка турбокомпрессоров;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
4202023230;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЕЛОВСКИЕ ГОРОДСКИ";вывод по роду деятельности;Поставка турбокомпрессора с электродвигателем;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7445020452;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАГНИТОГОРСКАЯ ЭНЕ";вывод по роду деятельности;Поставка колеса турбины турбокомпрессора HS 5800 в кол-ве 2 шт.;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7814448098;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОЛОМЯЖСКОЕ""";вывод по роду деятельности;Выполнение работ по ремонту турбокомпрессоров специализированной уборочной и дорожно-строи;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7805227529;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛОКОМОТИВ""";вывод по роду деятельности;Капитальный ремонт турбокомпрессора ТК 30Н-17, зав. № 5761;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
6325028144;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЫЗРАНЬВОДОКАНАЛ""";вывод по роду деятельности;Закупка плавного пуска на электродвигатель турбокомпрессора №3 БОС;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7707050810;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОСУДАРСТ";вывод по роду деятельности;Поставка турбокомпрессора для Коматсу;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
3443016862;ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ВОЛГОГРАДСКОЙ ОБЛАСТИ ;вывод по роду деятельности;Ремонт турбокомпрессоров для газовых двигателей;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
2721145239;КРАЕВОЕ ГОСУДАРСТВЕННОЕ СПЕЦИАЛИЗИРОВАННОЕ АВТОНОМНОЕ УЧРЕЖД;не сказан;;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
3525443640;МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДСКОГО ОКРУГА ГОРОДА;вывод по роду деятельности;"Выполнение работ по ремонту турбокомпрессоров для нужд МУП ""ПАТП №1""";ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
1101071049;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМИАВТОТРАНС""";вывод по роду деятельности;Выполнение работ по ремонту турбокомпрессоров для автотранспортной техники.;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
3500009656;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПАТП №1""";вывод по роду деятельности;"Выполнение работ по ремонту турбокомпрессоров для нужд АО ""ПАТП №1""";ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
3605000114;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""БУТУРЛИНОВСКИЙ МЕЛЬКОМБИНАТ""";вывод по роду деятельности;Нагнетатель на линию отходов;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
2508010281;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТИВИДОРНАЯ КОМПАН";вывод по роду деятельности;Турбокомпрессор FRONTIER;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
3810036184;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ИРКУТСКАВТОТРАНС"" Г.ИРК";вывод по роду деятельности;Поставка турбокомпрессора;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
6726022823;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕГИОНАЛЬНЫЕ ОБЪЕД";вывод по роду деятельности;"Выполнение комплексных монтажных работ по сборке турбокомпрессора для филиала ""Водоканал-В";ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
0411139760;"АВТОНОМНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АЛТАЙ ""АЛТАЙСКАЯ БАЗА АВИАЦ";не сказан;;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
8801011136;МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ЭВЕНКИЙСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;вывод по роду деятельности;Поставка турбокомпрессора Caterpillar 3512,3516;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
1435326056;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЯКУТСКАЯ ГЕНЕРИРУЮ";вывод по роду деятельности;Поставка газотурбинных нагнетателей VTR354P11;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5607044287;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""НОВОТРОИЦКИЙ ГОРОДСКОЙ ";вывод по роду деятельности;Поставка турбокомпрессора;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
9715450519;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЙ ДОМ АРГУС";вывод по роду деятельности;Поставка воздушного турбокомпрессора;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5074081187;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФА""";вывод по роду деятельности;Поставка воздушного турбокомпрессора;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
0816039027;"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""ЭЛИСТИНСКИЙ ГОРОДСКОЙ Т";вывод по роду деятельности;Услуги по ремонту турбокомпрессоров;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
1826000408;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ Г.ИЖЕВСКА ""ИЖВОДОКАНАЛ""";вывод по роду деятельности;Выполнение работ по техническому обслуживанию высокоскоростного турбокомпрессора;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
3811146038;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕЖДУНАРОДНЫЙ АЭРОПОРТ ИРКУТСК""";вывод по роду деятельности;Поставка турбокомпрессора BORG WARNER 13839980040;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
