Приоритет;Кластер;Тема;Запрос;Интент;Фактура твёрдая;Канон;Разделы каталога;Чем выгрызем;Статус
2;Орехи, сухофрукты, кофе, специи;Недозрелые и повреждённые ягоды в сушке: нормы для закупки;недозрелые ягоды в сухофруктах;нормативный;сверить;уточнить: ГОСТ на сушёную клюкву, чернику, изюм — допустимый % незрелых, повреждённых, с дефектами;/catalog/chernika/ /catalog/izyum/ /catalog/klyukva/;классификация дефектов ягод, как цветосортировка отсеивает зелёные и повреждённые;
2;Орехи, сухофрукты, кофе, специи;Примесь шелухи и плодоножек в кофе: нормы и способы очистки;шелуха в кофе норма;нормативный;сверить;уточнить: стандарты SCA (Specialty Coffee Association), ICO (International Coffee Organization) — допустимый % дефектов категории 2;/catalog/kofe/;классификация дефектов кофе (шелуха, палочки, недозрелые), как фотосепаратор убирает лёгкие примеси;
2;Орехи, сухофрукты, кофе, специи;Повреждённые и изъеденные ядра орехов: классификация и нормы по ГОСТ;повреждённые орехи норма гост;нормативный;сверить;уточнить: ГОСТ на грецкий орех, миндаль — допустимый % ядер с механическими повреждениями, изъеденных вредителями;/catalog/funduk/ /catalog/gretskiy-orekh/ /catalog/mindal/ /catalog/orekhi-i-sneki/;таблица дефектов по ГОСТ, как фотосепаратор и рентген отсеивают повреждённые и пустые орехи;
2;Рентген-инспекция и пищевая безопасность;Кость в мясных продуктах: нормы содержания и рентген-детекция;кость в мясе норма;нормативный;сверить;уточнить: ГОСТ на фарш, колбасные изделия, консервы - допустимое содержание костных включений по категориям;/catalog/myaso/;Размер кости, выявляемый рентгеном в зависимости от плотности продукта, отличие от металлодетектора, реальная статистика брака;
2;Рентген-инспекция и пищевая безопасность;Пластик в упакованных продуктах: как выявить рентген-инспекцией;пластик в продуктах питания контроль;информационный;да;Плотность полимеров vs плотность продукта, требования к рентгеноконтрастным материалам на производстве согласно ХАССП;/catalog/detskoe-pitanie/ /catalog/zamorozhennye-produkty/;Какие виды пластика видит рентген, какие нет, зачем нужны рентгеноконтрастные добавки, примеры настройки чувствительности;
2;Рентген-инспекция и пищевая безопасность;Контроль герметичности упаковки рентгеном: консервы, вакуум, MAP;контроль герметичности упаковки;информационный;сверить;уточнить: методика контроля герметичности по ГОСТ для консервов, признаки негерметичности на рентгеновском снимке;/catalog/moreprodukty/ /catalog/zamorozhennye-produkty/;Как рентген показывает воздух в вакуумной упаковке, примеры дефектов шва, интеграция в линию vs выборочный контроль;
2;Рентген-инспекция и пищевая безопасность;Камни в кофе: как рентген отличает зерно от камня;камни в кофе;информационный;да;Разница в плотности кофейного зерна (0.6-0.8 г/см³) и минеральных включений (2-3 г/см³), принцип рентгеновской сепарации;/catalog/kofe/;Таблица плотностей, рентгеновские снимки дефектов, сравнение с оптической сортировкой, настройки для обжаренного vs зелёного зерна;
2;Рентген-инспекция и пищевая безопасность;Инородные тела в замороженных овощах и ягодах: нормы и инспекция;инородные тела в замороженных овощах;нормативный;сверить;уточнить: ГОСТ на замороженные овощи и ягоды - допустимое количество механических примесей, методика контроля;/catalog/chernika/ /catalog/klubnika/ /catalog/malina/ /catalog/zamorozhennye-ovoshchi/ /catalog/zamorozhennye-yagody/;Специфика контроля в замороженном состоянии, влияние льда на рентгеновское изображение, статистика типичных дефектов по культурам;
2;Рентген-инспекция и пищевая безопасность;Контроль целостности продукта в упаковке: недовес, пустоты, слом;контроль целостности продукта рентген;коммерческий;да;Метод рентгеновской денситометрии: оценка распределения плотности продукта в непрозрачной упаковке;/catalog/detskoe-pitanie/ /catalog/konditerskie-izdeliya/;Как рентген видит недовес без вскрытия, определение сломанных изделий (печенье, шоколад), пустот в консервах, настройка допусков;
3;Выбор и эксплуатация оборудования;Можно ли использовать фотосепаратор для органической продукции: требования;фотосепаратор органическая продукция;нормативный;сверить;уточнить: требования ГОСТ 33980-2016 (органическая продукция) и ТР ТС 021/2011 (пищевая безопасность). Фотосепаратор — физический метод, допустим для органики (в отличие от химобработки). Сертификация оборудования не требуется, важна сертификация сырья и процесса;/catalog/grechka/ /catalog/len/ /catalog/pshenitsa/;Разбор нормативной базы для органики: можно ли, какие документы нужны, как подтвердить 'чистоту' процесса. Сейчас этой темы вообще нет в выдаче;
3;Выбор и эксплуатация оборудования;Фотосепаратор для экспортного зерна: требования импортёров и карантин;фотосепаратор экспорт зерна;нормативный;сверить;уточнить: требования Евросоюза (EU 178/2002), Китая (GACC), Турции к примесям и карантинным объектам. Фотосепаратор удаляет семена сорняков (карантин), но не заменяет фитосанитарную обработку. Документация для экспорта;/catalog/pshenitsa/ /catalog/semena-podsolnechnika/ /catalog/yachmen/ /catalog/zerno-kukuruzy/;Разбор экспортных требований по чистоте: что требует каждый рынок + как фотосепаратор помогает пройти инспекцию. Уникальная ниша, конкурентов почти нет;
3;Зерновые, зернобобовые, масличные;Морозобойное зерно пшеницы: что это такое и как определить;морозобойное зерно;нормативный;сверить;уточнить: ГОСТ на пшеницу, морозобойное зерно в категории поврежденных, допустимые нормы;/catalog/pshenitsa/;Причины возникновения, визуальные признаки, влияние на хлебопекарные свойства, методы определения и отделения;
3;Зерновые, зернобобовые, масличные;Вязель разноцветный в горохе и чечевице: ядовитая примесь;вязель в горохе;нормативный;сверить;уточнить: ГОСТ на зернобобовые, вязель как вредная примесь, допустимые нормы;/catalog/chechevitsa/ /catalog/gorokh/ /catalog/nut/;Токсичность для животных, визуальные отличия от гороха, сложность отделения, применение цветовой сепарации;
3;Зерновые, зернобобовые, масличные;Дурнишник обыкновенный в подсолнечнике: как бороться с сорняком;дурнишник в подсолнечнике;информационный;сверить;уточнить: ГОСТ на семена подсолнечника, дурнишник в составе сорной примеси;/catalog/semena-podsolnechnika/;Характеристика семян дурнишника, сходство с подсолнечником, методы отделения по размеру и массе, влияние на качество масла;
3;Непищевые направления;Минеральные примеси в каменной соли: методы очистки для пищевого применения;очистка каменной соли от примесей;нормативный;сверить;уточнить: ГОСТ Р 51574 на соль пищевую. Нормы по нерастворимому остатку, тяжёлым металлам, сульфатам;/catalog/kamennaya-sol/ /catalog/mineraly/;сравнение методов: промывка vs оптическая сортировка. Что удаляет фотосепаратор (тёмные частицы породы, органика), что нет;
3;Непищевые направления;Органические загрязнения в пластиковом вторсырье: этикетки, клей, остатки продукта;органические примеси в пластике;информационный;да;Требования переработчиков: органика < 0,5-2% (уточнить ТУ на флекс). Этикетка из бумаги, BOPP-плёнки, клей — всё снижает качество гранулята;/catalog/plastik/ /catalog/plastikovaya-tara/;методы удаления: мойка, воздушная сепарация, оптическая сортировка (тёмные этикетки). Когда какой метод эффективен;
3;Нормативы и контроль качества;Содержание ГМО в сое: требования ТР ТС и методы контроля;содержание гмо в сое норма;нормативный;да;ТР ТС 021/2011 (пищевая продукция из ГМО), пороги маркировки и запреты;/catalog/soya/;чёткие пороги маркировки 0,9% + акцент на входной контроль и сепарацию примесей перед лабораторным анализом;
3;Нормативы и контроль качества;Содержание пыли в крупе: норма по ГОСТ и методы контроля;содержание пыли в крупе норма;нормативный;сверить;уточнить: ГОСТы на крупы (гречневая, рисовая, пшено и др.), допустимая минеральная примесь/пыль %;/catalog/grechka/ /catalog/proso/ /catalog/ris/;цифры по видам круп + как фотосепаратор на финальной стадии убирает пылевую фракцию перед фасовкой;
3;Орехи, сухофрукты, кофе, специи;Органические примеси в специях: веточки, стебли, листья — допустимый процент;органические примеси в специях норма;нормативный;сверить;уточнить: ТР ТС 029/2012, стандарты ISO на специи — допустимое содержание растительных примесей;/catalog/spetsii-i-pryanosti/;конкретные нормы для чёрного перца, кориандра, тмина, как фотосепаратор различает и убирает веточки;
3;Рентген-инспекция и пищевая безопасность;Металлические осколки в специях и пряностях: источники и контроль;металл в специях;информационный;да;Источники металлических включений на производстве специй: мельницы, сита, транспортёры. Требования ХАССП к контролю;/catalog/spetsii-i-pryanosti/;Откуда берётся металл именно в специях, почему магнитная сепарация недостаточна, размеры, выявляемые рентгеном в порошкообразном продукте;
3;Рентген-инспекция и пищевая безопасность;Ракушка и камень в морепродуктах: рентген-сепарация креветок и мидий;камни в креветках;коммерческий;да;Плотность хитина, раковины и минеральных включений - различия для рентгеновской сортировки;/catalog/moreprodukty/;Специфика морепродуктов: высокая влажность, неоднородность, частые включения песка и ракушки, настройка порогов для креветки/мидий/кальмара;
3;Рентген-инспекция и пищевая безопасность;Минеральные примеси в солоде и хмеле: нормы и рентген-контроль;минеральная примесь в солоде;нормативный;сверить;уточнить: ГОСТ на солод пивоваренный и хмель - допустимое содержание минеральной примеси;/catalog/khmel/ /catalog/solod/;Нормы для пивоваренного сырья, источники загрязнения (почва при уборке, транспортировка), почему камни критичны для солода, настройка рентгена;
